epoch, wall, LR,training_loss_f,training_loss,training_f_mae,training_f_rmse,validation_loss_f,validation_loss,validation_f_mae,validation_f_rmse
       169,   28.781,     0.01,         0.005445,         0.005445,        0.023,       0.0351,          0.35479,          0.35479,        0.124,        0.283
       170,   28.932,     0.01,        0.0043478,        0.0043478,       0.0213,       0.0314,          0.38558,          0.38558,        0.133,        0.295
       171,   29.104,     0.01,        0.0080384,        0.0080384,        0.024,       0.0426,          0.35677,          0.35677,        0.125,        0.284
       172,   29.282,     0.01,        0.0087816,        0.0087816,       0.0236,       0.0446,          0.37561,          0.37561,        0.131,        0.291
       173,   29.463,     0.01,        0.0054397,        0.0054397,        0.023,       0.0351,          0.37306,          0.37306,        0.131,         0.29
       174,   29.636,     0.01,        0.0093173,        0.0093173,       0.0282,       0.0459,          0.37216,          0.37216,         0.13,         0.29
       175,   29.809,     0.01,        0.0058249,        0.0058249,       0.0247,       0.0363,          0.37168,          0.37168,        0.125,         0.29
       176,   29.991,     0.01,         0.006367,         0.006367,       0.0252,       0.0379,          0.35826,          0.35826,        0.132,        0.285
       177,   30.197,     0.01,        0.0075602,        0.0075602,       0.0263,       0.0413,          0.39455,          0.39455,        0.137,        0.299
       178,   30.357,     0.01,          0.01207,          0.01207,       0.0334,       0.0522,          0.37082,          0.37082,        0.132,         0.29
       179,   30.517,     0.01,        0.0074581,        0.0074581,       0.0291,       0.0411,          0.35739,          0.35739,        0.127,        0.284
       180,   30.684,     0.01,        0.0072752,        0.0072752,       0.0274,       0.0406,          0.37563,          0.37563,        0.125,        0.291
       181,   30.840,     0.01,         0.006618,         0.006618,       0.0263,       0.0387,          0.38332,          0.38332,        0.127,        0.294
       182,   30.994,     0.01,        0.0055202,        0.0055202,       0.0238,       0.0353,          0.34662,          0.34662,        0.131,         0.28
       183,   31.174,     0.01,         0.016297,         0.016297,       0.0362,       0.0607,          0.37995,          0.37995,        0.129,        0.293
       184,   31.368,     0.01,          0.01149,          0.01149,       0.0328,        0.051,          0.39362,          0.39362,        0.132,        0.298
       185,   31.590,     0.01,         0.007635,         0.007635,       0.0265,       0.0415,          0.37242,          0.37242,         0.13,         0.29
       186,   31.880,     0.01,        0.0049516,        0.0049516,       0.0237,       0.0335,          0.37505,          0.37505,        0.124,        0.291
