epoch, batch, loss, loss_f, f_mae, f_rmse
   66,     3,         0.044552,         0.044552,           0.0784,          0.10036
   66,     4,         0.020036,         0.020036,         0.045787,         0.067304
   66,     5,         0.042077,         0.042077,         0.078065,         0.097533
   67,     1,         0.026011,         0.026011,         0.062717,         0.076685
   67,     2,        0.0097883,        0.0097883,         0.040243,         0.047042
   67,     3,         0.035621,         0.035621,         0.057728,          0.08974
   67,     4,         0.019564,         0.019564,         0.045717,         0.066506
   67,     5,          0.08322,          0.08322,         0.098714,          0.13717
   68,     1,         0.029441,         0.029441,         0.064458,         0.081585
   68,     2,        0.0066026,        0.0066026,         0.023515,         0.038636
   68,     3,        0.0061811,        0.0061811,          0.02549,         0.037382
   68,     4,        0.0045992,        0.0045992,          0.02248,         0.032246
   68,     5,         0.028043,         0.028043,           0.0648,         0.079624
   69,     1,         0.025418,         0.025418,         0.061972,         0.075806
   69,     2,        0.0093813,        0.0093813,         0.032244,         0.046053
   69,     3,          0.01906,          0.01906,         0.043821,         0.065643
   69,     4,        0.0097943,        0.0097943,         0.037485,         0.047056
   69,     5,         0.027667,         0.027667,         0.062103,         0.079088
   70,     1,        0.0058331,        0.0058331,         0.029208,         0.036314
   70,     2,         0.032644,         0.032644,         0.057041,         0.085908
   70,     3,        0.0068514,        0.0068514,         0.026341,         0.039357
   70,     4,         0.083189,         0.083189,          0.10166,          0.13714
   70,     5,         0.024216,         0.024216,         0.060568,         0.073992
   71,     1,        0.0095255,        0.0095255,         0.037132,         0.046406
   71,     2,         0.024717,         0.024717,         0.056238,         0.074753
   71,     3,         0.030574,         0.030574,         0.056141,         0.083139
   71,     4,         0.023287,         0.023287,         0.049733,         0.072558
   71,     5,         0.057269,         0.057269,         0.094233,          0.11379
   72,     1,        0.0070563,        0.0070563,         0.032811,         0.039941
   72,     2,         0.030692,         0.030692,         0.067225,           0.0833
   72,     3,        0.0052864,        0.0052864,         0.028176,         0.034571
   72,     4,         0.029106,         0.029106,         0.058937,         0.081119
   72,     5,        0.0031454,        0.0031454,         0.018595,         0.026667
   73,     1,          0.03543,          0.03543,         0.065057,         0.089499
   73,     2,         0.010012,         0.010012,          0.03191,         0.047576
   73,     3,         0.012726,         0.012726,         0.036125,         0.053638
   73,     4,         0.024196,         0.024196,         0.052492,         0.073961
   73,     5,        0.0091359,        0.0091359,         0.026471,         0.045447
   74,     1,         0.016519,         0.016519,         0.049883,         0.061112
   74,     2,         0.003458,         0.003458,          0.02243,          0.02796
   74,     3,         0.025675,         0.025675,          0.05994,         0.076189
